,s,t,d,s
468,5,43,31.6125328525986,26.5
469,5,45,24.338019772272677,26.5
470,5,46,47.157394156133854,35.0
471,5,48,25.109717703283973,26.5
472,5,49,24.335500338079598,26.5
473,5,50,28.02344254074614,26.5
474,5,51,46.72564040692468,26.5
475,5,52,22.067616861706327,26.5
476,5,53,38.990568018634455,26.5
477,5,54,21.830427553573656,26.5
478,5,55,17.359961403511807,35.0
479,5,56,35.24380621588218,26.5
480,5,57,35.24380621588218,26.5
481,5,58,44.493541898013824,26.5
482,5,59,40.31832053735478,26.5
483,5,60,40.12387027709974,26.5
484,5,61,24.544961572310214,26.5
485,5,62,24.555641525415787,26.5
486,5,63,30.96745042685602,27.5
487,5,64,44.507564359247176,35.0
488,5,65,23.13449928475296,26.5
489,5,66,24.02083196016967,26.5
490,5,67,17.040056780195865,27.5
491,5,68,27.665509715635082,26.5
492,5,69,37.6184555935443,26.5
493,5,70,35.87507013111313,26.5
494,5,73,41.18860925684206,35.0
495,5,74,34.63040882843587,26.5
496,5,75,35.08166059221462,26.5
497,5,76,29.100626077780007,27.5
498,5,77,28.05029563797628,27.5
499,5,78,40.959231052163226,26.5
500,5,79,25.88404133942115,26.5
501,5,80,25.770828758710714,26.5
502,5,81,48.01573280371109,27.5
503,5,82,33.32161969801185,26.5
504,5,85,22.666755443244828,26.5
505,5,86,37.6286594943499,35.0
506,5,87,23.008985213048017,26.5
507,5,88,22.166658654990798,26.5
508,5,89,21.548315329589197,26.5
509,5,90,26.731109373646678,26.5
510,5,91,23.151669708150923,35.0
511,5,92,39.36261968755588,27.5
512,5,94,42.71859487639062,26.5
513,5,95,34.63218894332434,27.5
514,5,97,23.64656072595842,26.5
515,5,98,39.224951764893994,35.0
516,5,99,2.64770357830882,35.0
517,5,100,27.763182992074192,26.5
518,5,101,45.94835145471032,35.0
519,5,102,30.56488008565181,26.5
520,5,106,22.064862970180062,26.5
521,5,107,26.582091745591338,26.5
522,5,108,19.245009271479116,35.0
523,5,109,3.9193441771851125,35.0
524,5,110,6.054628153338857,35.0
525,5,111,20.204718582402986,26.5
526,5,112,27.65464245226768,26.5
527,5,113,25.507400440122527,26.5
528,5,114,25.372763081926415,26.5
529,5,116,36.072219409945795,26.5
530,5,117,32.70142343448249,35.0
531,5,119,38.19582425382163,26.5
532,5,120,39.030952006764814,26.5
533,5,122,40.100149003046766,35.0
534,5,123,20.426426590981805,35.0
535,5,124,32.33920201996898,35.0
536,5,125,24.5216586729782,26.5
537,5,126,38.59568471946016,26.5
538,5,127,41.61297540671567,26.5
539,5,128,41.66175934052281,26.5
540,5,129,34.13764796210732,26.5
541,5,130,37.04234528094068,35.0
542,5,131,38.922942234638846,35.0
543,5,132,36.43322814642891,35.0
544,5,133,21.39017060295569,26.5
545,5,134,35.110249246377194,35.0
546,5,135,35.30674538550443,35.0
547,5,136,42.77085489907036,26.5
548,5,137,27.310724921834105,26.5
549,5,138,36.382348366405004,26.5
550,5,139,39.427366088503604,35.0
551,5,140,30.212019683469965,26.5
552,5,141,30.34675575936694,26.5
553,5,143,29.965708606163382,26.5
554,5,144,24.790937464160326,26.5
555,5,145,29.244777126688277,26.5
556,5,146,30.35400294581141,26.5
557,5,147,38.20706756688086,26.5
558,5,148,24.854522422971552,26.5
